Unnamed: 0,code
0,230174
1,230174
2,230174
3,230178
4,230178
5,230178
6,230190
7,230190
8,230190
9,230190
10,230191
11,230191
12,230191
13,230193
14,230193
15,230193
16,230194
17,230194
18,230194
19,230199
20,230199
21,230199
22,230201
23,230201
24,230201
25,230205
26,230205
27,230205
28,230211
29,230211
30,230211
31,230212
32,230212
33,230212
34,230212
35,230221
36,230221
37,230221
38,230223
39,230223
40,230223
41,230232
42,230232
43,230232
44,230247
45,230247
46,230247
47,230253
48,230253
49,230253
50,230254
51,230254
52,230254
53,230259
54,230259
55,230259
56,230275
57,230275
58,230275
59,230276
60,230276
61,230276
62,230285
63,230285
64,230285
65,230286
66,230286
67,230286
68,230319
69,230319
70,230319
71,230320
72,230320
73,230320
74,230321
75,230321
76,230321
77,230322
78,230322
79,230322
80,230323
81,230323
82,230323
83,230356
84,230356
85,230356
86,230359
87,230359
88,230359
89,230364
90,230364
91,230364
92,230373
93,230373
94,230373
95,230376
96,230376
97,230376
98,230377
99,230377
100,230377
101,230385
102,230385
103,230385
104,230389
105,230389
106,230390
107,230390
108,230395
109,230395
110,230395
111,230395
112,230395
113,230396
114,230396
115,230396
116,230396
117,230411
118,230411
119,230411
120,230413
121,230413
122,230413
123,230417
124,230417
125,230417
126,230419
127,230419
128,230419
129,230435
130,230435
131,230435
132,230448
133,230448
134,230448
135,230458
136,230458
137,230458
138,230459
139,230459
140,230459
141,230472
142,230472
143,230472
144,230485
145,230485
146,230485
147,230490
148,230490
149,230490
150,230494
151,230494
152,230494
153,230530
154,230530
155,230530
156,230531
157,230531
158,230531
159,230535
160,230535
161,230535
162,230554
163,230554
164,230554
165,230559
166,230559
167,230559
168,230570
169,230570
170,230570
171,230571
172,230571
173,230571
174,230573
175,230573
176,230573
177,230587
178,230587
179,230587
180,230588
181,230588
182,230588
183,230589
184,230589
185,230589
186,230592
187,230592
188,230592
189,230595
190,230595
191,230595
192,230597
193,230597
194,230597
195,230602
196,230602
197,230602
198,230603
199,230603
200,230603
201,230603
202,230606
203,230606
204,230606
205,230607
206,230607
207,230607
208,230607
209,230609
210,230609
211,230609
212,230611
213,230611
214,230611
215,230611
216,230612
217,230612
218,230612
219,230612
220,230614
221,230614
222,230614
223,230615
224,230615
225,230615
226,230640
227,230640
228,230640
229,230655
230,230655
231,230655
232,230672
233,230672
234,230672
235,230675
236,230675
237,230675
238,230676
239,230676
240,230676
241,230678
242,230678
243,230678
244,230681
245,230681
246,230681
247,230694
248,230694
249,230694
250,230704
251,230704
252,230704
253,230719
254,230719
255,230719
256,230719
257,230723
258,230723
259,230723
260,230730
261,230730
262,230730
263,230747
264,230747
265,230747
266,230752
267,230752
268,230752
269,230768
270,230768
271,230768
272,230769
273,230769
274,230769
275,230769
276,230779
277,230779
278,230779
279,230780
280,230780
281,230780
282,230788
283,230788
284,230788
285,230792
286,230792
287,230792
288,230816
289,230816
290,230816
291,230816
292,230821
293,230821
294,230821
295,230824
296,230824
297,230824
298,230831
299,230831
300,230831
301,230835
302,230835
303,230835
304,230838
305,230838
306,230838
307,230856
308,230856
309,230856
310,230861
311,230861
312,230861
313,230862
314,230862
315,230862
316,230868
317,230868
318,230868
319,230868
320,230880
321,230880
322,230880
323,230880
324,230893
325,230893
326,230893
327,230893
328,230922
329,230922
330,230922
331,230924
332,230924
333,230924
334,230954
335,230954
336,230954
337,230955
338,230955
339,230955
340,230957
341,230957
342,230957
343,230960
344,230960
345,230960
346,230960
347,230965
348,230965
349,230965
350,230987
351,230987
352,230987
353,230990
354,230990
355,230990
356,230991
357,230991
358,230991
359,230994
360,230994
361,230994
362,230995
363,230995
364,230995
365,230995
366,230996
367,230996
368,230996
369,230996
370,231004
371,231004
372,231004
373,231016
374,231016
375,231016
376,231018
377,231018
378,231018
379,231019
380,231019
381,231019
382,231020
383,231020
384,231020
385,231020
386,231021
387,231021
388,231021
389,231047
390,231047
391,231047
392,231071
393,231071
394,231071
395,231091
396,231091
397,231091
398,231111
399,231111
400,231111
401,231119
402,231119
403,231119
404,231119
405,231119
406,231126
407,231126
408,231126
409,231127
410,231127
411,231127
412,231148
413,231148
414,231148
415,231149
416,231149
417,231149
418,231153
419,231153
420,231153
421,231153
422,231156
423,231156
424,231156
425,231156
426,231157
427,231157
428,231157
429,231158
430,231158
431,231158
432,231158
433,231158
434,231159
435,231159
436,231159
437,231159
438,231176
439,231176
440,231176
441,231177
442,231177
443,231177
444,231180
445,231180
446,231180
447,231180
448,231184
449,231184
450,231184
451,231185
452,231185
453,231185
454,231206
455,231206
456,231206
457,231214
458,231214
459,231214
460,231215
461,231215
462,231215
463,231234
464,231234
465,231234
466,231234
467,231235
468,231235
469,231235
470,231256
471,231256
472,231256
473,231267
474,231267
475,231267
476,231309
477,231309
478,231309
479,231313
480,231313
481,231313
482,231313
483,231313
484,231315
485,231315
486,231315
487,231316
488,231316
489,231316
490,231316
491,231331
492,231331
493,231331
494,231340
495,231340
496,231340
497,231342
498,231342
499,231342
500,231365
501,231365
502,231365
503,231366
504,231366
505,231366
506,231367
507,231367
508,231367
509,231390
510,231390
511,231390
512,231426
513,231426
514,231426
515,231431
516,231431
517,231431
518,231438
519,231438
520,231438
521,231482
522,231482
523,231482
524,231484
525,231484
526,231484
527,231484
528,231491
529,231491
530,231491
531,231501
532,231501
533,231501
534,231516
535,231516
536,231516
537,231527
538,231527
539,231527
540,231547
541,231547
542,231547
543,231565
544,231565
545,231565
546,231565
547,231569
548,231569
549,231569
550,231574
551,231574
552,231574
553,231581
554,231581
555,231581
556,231601
557,231601
558,231601
559,231638
560,231638
561,231638
562,231638
563,231642
564,231642
565,231642
566,231644
567,231644
